,station_id,Ammonium_2019,Ammonium_2020,Coli-like-bacteria_2019,Coli-like-bacteria_2020,Colony-count-at-22-C_2019,Colony-count-at-22-C_2020,Color-Pt/Co-scale_2019,Color-Pt/Co-scale_2020,Electrical-conductivity_2019,Electrical-conductivity_2020,Escherichia-coli_2019,Escherichia-coli_2020,Iron_2019,Iron_2020,Manganese_2019,Manganese_2020,Odour-dilution-level_2019,Odour-dilution-level_2020,Taste-dilution-degree_2019,Taste-dilution-degree_2020,Turbidity-NTU_2019,Turbidity-NTU_2020,pH _2019,pH _2020,compliance_2019,compliance_2020,compliance_2021
31,491,0.21,0.24,0.0,0.0,13.5,6.333333333333333,13.3,12.3,448.0,440.0,0.0,0.0,102.5,81.2,18.25,30.0,1.0,2.0,1.0,2.0,0.7,0.5,7.47,7.46,0,0,1
32,1277,0.17,0.05,0.0,0.0,27.0,12.666666666666666,6.0,2.0,647.0,594.0,0.0,0.0,185.0,20.0,26.5,5.0,2.0,2.0,2.0,2.0,2.4,1.0,7.6,7.9,0,0,0
33,1028,0.29,0.35,0.0,0.0,24.0,19.0,2.0,2.1,320.0,287.0,0.0,0.0,42.0,25.0,9.0,11.0,2.0,2.0,2.0,2.0,1.3,1.0,7.8,8.0,0,0,0
34,542,0.51,0.245,0.0,0.0,44.0,0.0,6.5,5.1499999999999995,1062.0,872.0,0.0,0.0,10.0,10.0,28.0,12.0,3.0,2.0,3.0,2.0,0.3,0.3,6.5,7.5,0,0,0
35,1027,0.73,0.14,0.0,0.0,300.0,1.5,11.0,8.2,1683.0,1197.0,0.0,0.0,43.0,46.0,47.0,13.0,4.0,2.0,4.0,2.0,1.0,1.0,7.7,8.0,1,0,1
36,2311,0.22,0.095,0.0,0.0,4.0,3.0,2.0,3.0,457.0,725.0,0.0,0.0,150.0,20.0,23.0,5.0,2.0,2.0,2.0,2.0,1.6,1.0,7.6,7.4,0,0,0
37,297,0.05,0.05,0.0,0.0,0.0,12.0,0.0,0.0,498.0,497.0,0.0,0.0,20.0,20.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.3,7.4,0,0,0
38,1117,0.065,0.05,0.0,0.0,0.0,0.0,4.0,4.0,716.0,810.0,0.0,0.0,20.0,28.0,8.416666666666666,5.0,1.0,4.0,1.0,4.0,1.0,1.0,7.5,7.1,0,0,0
39,1409,0.08,0.05,0.0,0.0,4.0,158.0,2.0,5.0,448.0,473.0,0.0,0.0,20.0,160.0,6.833333333333333,23.866666666666664,1.0,2.0,1.0,2.0,0.64,1.3,7.8,7.9,0,0,0
40,355,0.05,0.05,0.0,0.0,4.0,0.0,0.0,0.0,379.0,403.0,0.0,0.0,20.0,20.0,5.25,42.73333333333333,1.0,1.0,1.0,1.0,1.0,1.0,7.3,7.4,0,0,0
43,1074,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,338.0,379.0,0.0,0.0,43.0,56.0,0.5,0.5,1.0,1.0,1.0,1.0,1.35,0.65,7.98,7.96,0,0,0
44,562,0.05,0.03,0.0,0.0,0.0,24.0,0.0,0.0,152.8,113.0,0.0,0.0,79.0,38.0,270.75,5.25,1.0,1.0,1.0,1.0,1.3,0.3,6.5,6.6,0,0,0
45,629,0.05,0.04,0.0,0.0,0.0,7.0,0.0,0.0,372.0,488.0,0.0,0.0,115.0,20.0,541.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.6,7.4,1,0,0
46,444,0.05,0.05,100.0,0.0,300.0,26.0,5.0,0.0,758.0,647.0,0.0,0.0,460.0,20.0,11.0,10.0,4.0,1.0,4.0,1.0,2.0,1.0,7.6,7.1,1,0,0
47,399,0.05,0.1,0.0,0.0,16.0,0.0,0.0,0.0,387.0,466.0,0.0,0.0,20.0,20.0,6.0,7.999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,7.7,7.7,0,0,0
48,590,0.14,0.15,0.0,0.0,158.0,2.0,5.5,6.0,421.0,428.0,0.0,0.0,122.0,166.0,13.25,6.0,1.5,1.5,1.5,1.5,0.2,0.5,7.7,7.6,0,0,0
49,1099,0.16333333333333333,0.12,0.0,0.0,300.0,26.0,11.0,12.0,579.0,623.0,0.0,0.0,97.5,196.0,20.5,4.0,2.0,2.0,2.0,2.0,1.0,1.0,7.6,7.9,0,1,0
50,658,0.18666666666666665,0.12,0.0,0.0,1.0,19.0,3.0,3.0,646.0,628.0,0.0,0.0,73.0,110.0,27.75,10.5,9.0,5.0,9.0,5.0,0.6,0.5,7.47,7.47,0,0,0
51,2078,0.21,0.12,0.0,0.0,24.0,7.0,4.0,3.0,495.0,456.0,0.0,0.0,200.0,92.0,35.0,17.0,16.0,8.0,16.0,8.0,4.9,1.0,8.0,8.0,1,1,0
52,521,0.05,0.12,0.0,0.0,7.0,0.0,0.0,0.0,355.0,352.0,0.0,0.0,54.0,20.0,23.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,7.5,0,0,0
53,430,0.113,0.12,0.0,0.0,0.0,3.0,10.8,7.1,982.0,981.0,0.0,0.0,155.0,209.0,4.7,30.0,1.0,2.0,1.0,1.0,1.11,0.84,8.2,8.3,0,0,0
54,826,0.31,0.68,0.0,0.0,0.0,19.0,3.0,2.0,975.0,674.0,0.0,0.0,36.0,25.0,5.0,181.0,4.0,2.0,4.0,2.0,1.0,1.0,8.2,7.6,0,1,0
55,1313,0.2816666666666666,0.05,0.0,0.0,34.0,4.0,4.1,2.0,716.0,744.0,0.0,0.0,83.0,59.0,6.0,2.0,3.4000000000000004,1.0,3.4000000000000004,2.0,1.0,1.0,7.03,7.33,0,0,0
56,877,0.25333333333333335,0.05,0.0,0.0,0.0,8.0,3.0749999999999997,2.0,649.75,530.0,0.0,0.0,69.0,10.0,7.0,2.0,2.8000000000000003,2.0,2.8000000000000003,2.0,1.0,1.0,7.0975,7.6,0,0,0
57,881,0.225,0.19,0.0,0.0,5.0,3.0,2.05,3.0,583.5,586.0,0.0,0.0,55.0,14.0,8.0,2.0,2.2,2.0,2.2,2.0,1.0,1.0,7.165,7.5,0,0,0
59,509,0.16833333333333333,0.08666666666666667,0.0,0.0,0.0,4.0,0.0,0.0,451.0,466.0,0.0,0.0,27.0,20.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.3,7.3,0,0,0
60,1602,0.14,0.09333333333333332,0.0,0.0,300.0,80.0,12.0,2.0,553.0,589.0,0.0,0.0,1270.0,14.0,23.0,15.25,8.0,1.0,1.0,1.0,7.0,0.5,7.7,7.9,1,0,0
61,1141,0.11,0.1,0.0,0.0,153.5,42.0,8.3,6.9,448.0,452.0,0.0,0.0,900.0,37.5,44.33333333333333,20.5,1.0,1.0,1.0,1.0,1.93,1.75,8.02,8.02,0,0,0
62,979,0.15333333333333332,0.13333333333333333,0.0,0.0,7.0,4.0,6.0,2.0,543.0,503.0,0.0,0.0,530.0,61.0,65.66666666666667,25.75,2.0,1.0,2.0,1.0,1.0,1.0,7.2,7.5,1,0,0
63,605,0.19666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,326.0,416.0,0.0,0.0,20.0,20.0,87.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4,7.4,1,0,0
64,1465,0.24,0.2,0.0,0.0,0.0,48.0,8.1,11.8,878.0,883.0,0.0,0.0,889.0,767.0,64.66666666666667,79.5,1.0,1.0,1.0,1.0,2.0,2.79,7.87,8.02,1,1,0
65,426,0.05,0.05,0.0,0.0,2.0,0.0,12.533333333333331,14.5,593.0,610.0,0.0,0.0,23.0,393.5,42.33333333333333,49.75,1.0,1.0,1.0,1.0,0.2,0.2,7.5,7.7,0,0,0
66,474,0.065,0.05,0.0,0.0,1.0,0.0,16.966666666666665,17.2,561.0,564.0,0.0,0.0,22.0,20.0,20.0,20.0,1.0,1.0,1.0,1.0,0.2,0.2,7.6,7.6,0,0,0
67,751,0.08,0.08,0.0,0.0,8.0,68.0,21.4,19.9,1394.0,877.0,0.0,0.0,219.0,20.0,33.0,16.666666666666664,1.0,1.0,1.0,1.0,1.46,2.46,7.98,7.86,1,0,1
68,380,0.05,0.065,0.0,0.0,0.0,0.0,0.0,0.0,572.0,576.0,0.0,0.0,20.0,20.0,21.5,13.333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,7.4,7.5,0,0,0
69,277,0.05,0.05,0.0,0.0,7.0,19.0,0.0,0.0,636.0,631.0,0.0,0.0,25.0,43.0,10.0,10.0,1.0,1.0,1.0,1.0,1.3,1.0,7.6,7.5,0,0,0
70,934,0.05,0.05,0.0,0.0,5.5,0.0,0.0,0.0,339.0,369.0,0.0,0.0,52.0,86.0,0.5,0.5,1.0,1.0,1.0,1.0,1.15,1.0,8.05,7.97,0,0,0
71,360,0.05,0.05,0.0,0.0,4.0,0.0,0.0,0.0,462.0,530.0,0.0,0.0,36.0,64.0,13.25,22.75,1.0,1.0,1.0,1.0,1.0,1.0,7.5,7.4,0,0,0
72,436,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,308.0,494.0,0.0,0.0,20.0,42.0,26.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4,7.3,0,0,0
73,367,0.05,0.05,0.0,0.0,4.0,4.0,0.0,0.0,295.0,287.0,0.0,0.0,20.0,31.0,10.0,27.5,1.0,1.0,1.0,1.0,1.0,1.0,7.6,8.0,0,0,0
74,349,0.05,0.05,0.0,0.0,0.0,229.0,0.0,0.0,90.6,63.0,0.0,0.0,20.0,20.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,8.2,0,0,0
75,1319,0.05,0.11,0.0,0.0,10.0,115.0,4.0,5.0,413.0,451.0,0.0,0.0,120.0,100.0,12.0,10.0,1.0,2.0,1.0,2.0,1.3,1.0,7.8,8.2,0,0,0
76,1485,0.05,0.098,0.0,0.0,60.0,7.0,0.0,0.0,512.0,510.0,0.0,0.0,20.0,20.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.6,7.2,0,0,0
77,1297,0.065,0.08600000000000002,0.0,0.0,41.0,1.0,2.0,5.0,634.0,580.0,0.0,0.0,20.0,20.0,20.0,20.0,2.0,1.0,2.0,1.0,1.0,0.5,7.5,7.8,0,0,0
78,1051,0.08,0.07400000000000001,0.0,0.0,20.5,4.0,8.4,0.0,454.0,398.0,0.0,0.0,20.0,50.0,17.0,20.333333333333332,1.0,1.0,1.0,1.0,0.68,1.0,7.88,7.5,0,0,0
80,328,0.05,0.05,0.0,0.0,83.0,0.0,0.0,0.0,396.0,501.0,0.0,0.0,20.0,20.0,11.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,7.3,0,0,0
82,1101,0.05,0.05,0.0,0.0,44.0,7.0,3.0,3.3,180.0,155.0,0.0,0.0,58.0,56.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,7.7,8.1,0,0,0
83,689,0.05,0.05,0.0,0.0,5.0,8.0,3.0,2.65,712.0,504.0,0.0,0.0,44.33333333333333,48.0,8.175,7.0,2.0,1.5,2.0,1.5,0.5,0.5,7.57,7.55,0,0,0
84,1103,0.05,0.05,0.0,0.0,10.0,3.0,3.0,2.0,515.0,578.0,0.0,0.0,30.666666666666664,40.0,11.35,9.0,2.0,1.0,2.0,1.0,1.3,1.0,8.0,7.9,0,0,0
85,1185,0.05,0.05,0.0,0.0,0.0,11.0,2.0,2.0,576.0,575.0,0.0,0.0,17.0,46.0,14.524999999999999,8.98,1.0,2.0,1.0,2.0,1.0,1.0,7.7,8.0,0,0,0
94,1096,0.24,0.16,0.0,0.0,4.0,0.0,2.0,2.0,633.0,594.0,0.0,0.0,185.0,3.7,40.0,8.8,4.0,4.0,16.0,4.0,4.1,1.0,7.7,8.0,1,0,0
95,546,0.19,0.135,0.0,0.0,152.0,3.0,10.0,11.2,544.0,552.0,0.0,0.0,215.0,879.0,157.14285714285714,19.4,1.0,1.0,1.0,1.0,1.1,1.19,7.55,7.56,1,1,0
96,676,0.22,0.11,0.0,0.0,300.0,9.0,5.6,4.0,662.0,691.0,0.0,0.0,156.0,71.0,274.2857142857143,30.0,2.0,1.0,2.0,1.0,0.58,2.3,7.98,8.02,1,0,0
97,722,0.25,0.19,0.0,0.0,29.0,300.0,6.0,9.0,696.0,683.0,0.0,0.0,97.0,90.0,391.4285714285714,26.0,1.5,2.0,1.5,2.0,0.5,0.5,8.09,8.03,0,0,0
101,261,3.19,0.11,0.0,0.0,0.0,0.0,0.0,0.0,392.0,410.0,0.0,0.0,1570.0,66.0,860.0,40.0,1.0,1.0,1.0,3.0,1.0,1.0,7.5,7.8,1,0,0
102,841,0.12,0.05,0.0,0.0,39.0,17.0,5.0,6.0,713.0,693.0,0.0,0.0,69.0,138.0,6.0,9.0,4.0,2.0,4.0,2.0,1.0,1.0,8.0,8.2,0,1,1
103,441,0.05,0.05,0.0,9.0,21.5,8.5,0.0,0.0,288.0,401.0,0.0,0.0,233.0,808.0,5.5,10.0,1.0,1.0,1.0,1.0,3.0,8.8,8.3,8.0,1,1,0
104,1215,0.05,0.05,0.0,6.0,4.0,0.0,2.0,2.0,653.0,756.0,0.0,0.0,30.0,40.0,5.0,11.0,1.0,2.0,1.5,2.0,1.0,1.0,8.6,7.8,0,0,0
105,850,0.05,0.05,0.0,3.0,145.0,0.0,3.0,3.0,461.0,459.0,0.0,0.0,47.0,50.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,7.7,7.8,0,0,0
106,1209,0.05,0.05,0.0,0.0,1.0,14.0,3.0,3.0,381.5,310.0,0.0,0.0,31.0,11.0,9.0,6.666666666666666,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.5,0.5,7.8,7.89,0,0,0
107,524,0.05,0.05,0.0,0.0,2.5,7.0,1.5,1.5,302.0,257.0,0.0,0.0,20.0,37.0,12.999999999999998,8.333333333333332,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.2,0.2,8.2,8.1,0,0,0
108,197,0.05,0.05,0.0,0.0,4.0,0.0,0.0,0.0,557.0,558.0,0.0,0.0,30.0,20.0,17.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.7,7.5,0,0,0
109,1082,0.145,0.05,0.0,0.0,186.0,300.0,3.0,5.0,478.0,547.0,0.0,0.0,40.0,48.0,13.5,5.8,2.0,2.0,2.0,2.0,1.0,1.0,7.9,7.8,0,1,0
110,354,0.24,0.19,0.0,0.0,0.0,0.0,0.0,0.0,536.0,447.0,0.0,0.0,20.0,20.0,10.0,10.0,1.0,1.0,2.0,2.0,1.0,1.0,7.2,7.1,0,0,1
111,1216,0.05,0.12,0.0,0.0,5.0,11.0,2.0,2.0,618.0,573.0,0.0,0.0,16.0,20.0,2.0,10.0,2.0,2.0,2.0,2.0,1.0,1.0,8.1,8.2,0,0,0
112,499,0.05666666666666667,0.05,0.0,0.0,4.0,0.0,0.0,0.0,411.0,410.0,0.0,0.0,20.0,20.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.1,7.6,7.6,0,0,0
113,471,0.06333333333333334,0.05,0.0,0.0,1.0,1.0,2.0,2.5,632.0,609.0,0.0,0.0,64.0,29.0,6.3,36.0,1.3333333333333333,2.0,1.3333333333333333,2.0,0.5,0.2,7.5,7.6,0,0,0
114,807,0.07,0.165,0.0,0.0,0.0,0.0,4.0,5.0,768.0,688.0,0.0,0.0,47.0,136.0,2.6,0.5,1.6666666666666665,3.0,1.6666666666666665,3.0,1.0,0.6,7.36,7.23,0,0,0
115,1912,0.49,0.28,0.0,0.0,300.0,138.0,6.0,5.0,1039.0,970.0,0.0,0.0,160.0,120.0,40.0,12.0,2.0,4.0,2.0,4.0,1.6,1.0,7.5,7.6,0,0,0
116,711,0.27,0.05,0.0,0.0,6.0,44.0,5.0,5.0,565.0,552.0,0.0,0.0,120.0,55.0,25.0,1.7,1.5,2.5,1.5,2.5,0.5,0.5,7.46,7.57,0,0,0
117,391,0.05,0.05,0.0,0.0,6.0,22.0,0.0,0.0,219.0,214.0,0.0,0.0,144.0,21.0,10.0,10.35,1.0,1.0,1.0,1.0,1.0,1.0,7.8,8.0,0,0,0
118,497,0.05,0.05,0.0,0.0,146.0,0.0,0.0,0.0,403.0,406.0,0.0,0.0,24.0,20.0,10.0,19.0,1.0,1.0,1.0,1.0,1.0,2.0,7.6,7.5,0,0,0
119,744,0.11000000000000001,0.05,4.666666666666666,0.0,18.0,21.0,9.0,8.0,645.0,715.0,3.333333333333333,0.0,610.0,350.0,6.0,16.0,4.0,1.5,4.0,1.5,1.0,0.5,7.0,6.91,1,1,0
120,336,0.17,0.497,9.333333333333332,0.0,25.0,410.0,6.0,9.0,732.0,684.0,6.666666666666666,0.0,36.0,180.0,2.0,17.0,2.0,2.0,2.5,2.0,1.0,2.0,7.7,8.08,0,1,1
121,1368,0.08,0.05,14.0,0.0,820.0,4.0,7.1,0.0,561.0,510.0,10.0,0.0,28.0,20.0,6.5,10.0,1.0,1.0,1.0,1.0,0.5,1.0,7.43,7.3,1,0,0
122,214,0.36,0.05,0.0,0.0,0.0,14.0,0.0,0.0,545.0,436.0,0.0,0.0,20.0,20.0,11.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,7.3,7.3,0,0,1
123,1659,0.64,0.2,0.0,0.0,168.0,28.0,7.0,11.0,699.0,677.0,0.0,0.0,290.0,250.0,100.0,10.0,1.0,2.5,1.0,1.0,0.5,2.1,7.4,8.3,1,1,0
124,1612,0.12,0.12,0.0,0.0,0.0,42.0,0.0,0.0,338.0,322.0,0.0,0.0,666.0,20.0,314.0,262.0,1.0,4.0,1.0,1.0,10.0,1.0,7.2,7.5,1,1,0
125,417,0.0975,0.0975,0.0,0.0,4.0,0.0,0.0,0.0,449.0,423.0,0.0,0.0,145.0,100.0,13.0,10.0,1.0,1.0,1.0,1.0,2.3,1.2,7.8,7.5,0,0,0
126,507,0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.0,393.0,398.0,0.0,0.0,20.0,101.0,17.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4,7.4,0,0,1
127,1190,0.0525,0.0525,0.0,0.0,10.0,19.0,3.0,2.8,653.0,608.0,0.0,0.0,62.0,47.0,20.25,32.25,1.0,2.0,1.0,2.0,1.0,1.0,7.6,7.9,0,0,0
128,757,0.03,0.03,0.0,0.0,0.0,21.0,4.5,3.9,449.0,443.0,0.0,0.0,73.0,40.0,23.5,29.5,1.5,1.5,1.5,1.5,0.3,0.3,7.5,7.5,0,0,0
129,1193,0.035,0.0315,0.0,0.0,15.0,23.0,6.0,5.0,631.0,616.0,0.0,0.0,125.0,40.0,26.75,26.75,2.0,1.0,2.0,1.0,1.5,1.0,7.4,7.6,0,0,0
130,1933,0.04,0.033,0.0,0.0,8.5,16.0,4.5,4.0,478.5,572.0,0.0,0.0,1243.0,59.0,30.0,24.0,1.6666666666666665,1.0,1.6666666666666665,1.0,1.0,0.75,7.390000000000001,7.7,1,0,0
131,706,0.045000000000000005,0.0415,0.0,0.0,2.0,8.0,3.0,3.0,326.0,429.0,0.0,0.0,100.0,100.0,23.333333333333332,23.428571428571427,1.3333333333333333,1.0,1.3333333333333333,1.0,0.5,0.5,7.38,7.51,0,0,0
132,316,0.05,0.05,0.0,0.0,0.0,4.0,0.0,0.0,620.0,481.0,0.0,0.0,38.0,20.0,16.666666666666664,22.857142857142854,1.0,1.0,1.0,1.0,1.0,1.0,7.8,7.6,0,0,0
133,374,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,242.0,292.0,0.0,0.0,26.0,104.0,10.0,22.285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,7.7,8.0,0,0,0
137,839,0.05,0.05,0.0,0.0,71.0,5.0,2.0,5.0,450.0,507.0,0.0,0.0,20.0,44.0,3.8,20.0,1.0,4.0,1.0,4.0,1.0,2.3,7.8,8.0,0,1,0
138,677,0.15,0.15,0.0,0.0,4.0,4.0,7.9,6.1,646.0,645.0,0.0,0.0,26.333333333333332,113.5,3.6666666666666665,13.999999999999998,1.0,1.0,1.0,1.0,2.33,2.2,7.67,7.71,0,0,0
139,1160,0.25,0.25,0.0,0.0,23.0,12.5,12.9,12.4,376.0,376.0,0.0,0.0,32.666666666666664,183.0,3.533333333333333,7.999999999999999,2.0,1.0,2.0,1.0,0.5,0.5,7.75,7.85,0,0,0
140,962,0.05,0.29,0.0,0.0,42.0,21.0,10.25,10.600000000000001,669.0,748.0,0.0,0.0,39.0,43.3,3.4,2.0,1.5,1.0,1.5,1.0,1.0,0.775,7.92,7.86,0,1,0
141,938,0.25,0.16999999999999998,0.0,0.0,4.0,5.0,7.6,8.8,597.0,505.0,0.0,0.0,84.0,31.65,5.05,8.5,1.0,1.0,1.0,1.0,0.54,1.05,7.62,7.91,0,0,0
142,601,0.45,0.05,0.0,0.0,2.0,31.0,3.8,4.4,403.0,400.0,0.0,0.0,129.0,20.0,6.7,15.0,1.0,1.0,1.0,1.0,0.2,0.3,7.7,7.6,0,0,0
143,314,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,595.0,606.0,0.0,0.0,62.0,20.0,8.35,21.5,1.0,1.0,1.0,1.0,1.0,1.0,7.3,7.3,0,0,0
144,1695,0.18,0.14,0.0,0.0,0.0,0.0,0.0,0.0,451.0,407.0,0.0,0.0,151.0,81.0,10.0,28.0,8.0,2.0,1.3333333333333333,1.0,1.0,1.0,7.5,7.5,0,0,0
145,1483,0.05,0.05,0.0,0.0,2.0,0.0,1.5,1.0,353.0,355.0,0.0,0.0,30.0,20.0,16.0,16.5,5.0,1.5,1.6666666666666665,1.0,0.2,0.5,8.0,8.1,0,0,0
146,1377,0.08666666666666667,0.1,0.0,0.0,78.0,137.0,3.0,2.0,632.0,666.0,0.0,0.0,150.0,23.0,22.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,7.7,7.9,0,0,0
147,1009,0.12333333333333332,0.15,0.0,0.0,300.0,5.0,3.0,4.1,612.0,650.0,0.0,0.0,80.0,280.0,170.2,80.0,1.0,2.0,1.0,2.0,1.0,3.2,8.1,8.0,1,1,0
148,630,0.16,0.2,0.0,0.0,103.0,143.0,6.0,14.6,1029.0,1180.0,0.0,0.0,88.0,264.0,14.4,30.0,4.0,5.0,4.0,1.5,1.0,1.62,7.8,8.13,1,1,1
149,332,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,622.0,676.0,0.0,0.0,20.0,20.0,17.2,25.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.3,0,0,0
