aluminium;ammonium;boron;chloride;coli-like-bacteria-colilert;coli-like-bacteria;colony-count-at-22-c;color-pt-co-unit;color-pt/co-scale;electrical-conductivity;enterococci;escherichia-coli-colilert;escherichia-coli;fluoride;iron;manganese;nitrate;nitrite;odour-dilution-level;oxidability;smell-ball-units;sodium;sulphate;taste-ball-units;taste-dilution-degree;turbidity-ntu;ph ;compliance
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;5.0;565.0;0.0;0.0;0.0;0.67;10.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.5;7.8;0
5.0;0.05;0.2;23.0;3.0;0.0;300.0;5.0;2.0;648.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;1.0;7.9;1
5.0;0.03;0.2;23.0;0.0;0.0;23.0;5.0;2.1;457.0;0.0;0.0;0.0;0.67;60.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.3;7.5;0
5.0;0.05;0.2;23.0;0.0;0.0;14.0;5.0;3.0;239.0;0.0;0.0;0.0;1.22;20.0;10.0;1.0;0.008;1.0;1.3;1.0;34.8;10.0;2.0;1.0;0.5;8.3;0
5.0;0.05;0.2;23.0;0.0;0.0;37.0;5.0;6.0;710.0;0.0;0.0;0.0;0.67;185.0;36.0;1.0;0.008;1.0;1.6;0.0;4.7;40.0;0.0;1.0;1.8;7.3;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;0.0;382.0;0.0;0.0;0.0;0.67;20.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.5;0
5.0;0.21;0.2;23.0;0.0;0.0;5.0;5.0;13.3;448.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;2.8;0.0;1.0;0.7;7.47;0
5.0;0.17;0.2;27.0;0.0;0.0;27.0;5.0;6.0;647.0;0.0;0.0;0.0;0.67;185.0;26.5;0.45;0.008;2.0;1.7;0.0;31.5;16.0;0.0;2.0;2.4;7.6;0
5.0;0.29;0.2;23.0;0.0;0.0;24.0;5.0;2.0;320.0;0.0;0.0;0.0;0.67;42.0;9.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;1.3;7.8;0
5.0;0.05;0.2;23.0;0.0;0.0;44.0;5.0;2.1;1062.0;0.0;0.0;0.0;0.67;10.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.3;6.5;0
5.0;0.73;0.2;23.0;0.0;0.0;300.0;5.0;11.0;1683.0;0.0;0.0;0.0;0.67;43.0;47.0;1.0;0.008;4.0;1.3;0.0;34.8;10.0;0.0;4.0;1.0;7.7;1
5.0;0.22;0.2;23.0;0.0;0.0;4.0;5.0;2.0;457.0;0.0;0.0;0.0;0.67;150.0;23.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;1.6;7.6;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;0.0;498.0;0.0;0.0;0.0;0.67;20.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.3;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;4.0;716.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.5;0
5.0;0.08;0.2;23.0;0.0;0.0;4.0;0.0;2.1;448.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.64;7.8;0
5.0;0.05;0.2;23.0;0.0;0.0;4.0;5.0;0.0;379.0;0.0;0.0;0.0;0.67;20.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.3;0
5.0;0.05;0.2;23.0;0.0;0.0;4.0;5.0;13.0;570.0;0.0;0.0;0.0;0.67;2000.0;10.0;1.0;0.008;4.0;1.3;0.0;34.8;10.0;0.0;4.0;10.0;7.7;1
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;0.0;491.0;0.0;0.0;0.0;0.67;428.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.4;7.5;1
5.0;0.05;0.2;23.0;0.0;0.0;5.0;5.0;2.1;338.0;0.0;0.0;0.0;0.67;43.0;0.5;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.98;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;2.1;152.8;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;30.0;0.0;1.0;1.3;6.5;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;0.0;372.0;0.0;0.0;0.0;0.67;115.0;541.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.6;1
5.0;0.05;0.2;23.0;0.0;100.0;300.0;5.0;5.0;758.0;0.0;0.0;0.0;0.24;460.0;11.0;19.3;0.01;4.0;0.96;0.0;12.3;34.0;0.0;4.0;2.0;7.6;1
10.0;0.05;0.2;3.2;0.0;0.0;16.0;5.0;0.0;387.0;0.0;0.0;0.0;0.6;20.0;6.0;1.0;0.002;1.0;1.1;0.0;30.0;8.8;0.0;1.0;1.0;7.7;0
5.0;0.14;0.2;23.0;0.0;0.0;5.0;1.5;2.1;421.0;0.0;0.0;0.0;0.67;122.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.2;7.7;0
5.0;0.05;0.2;23.0;0.0;0.0;300.0;5.0;11.0;579.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;1.0;7.6;0
5.0;0.05;0.2;23.0;0.0;0.0;1.0;5.0;3.0;646.0;0.0;0.0;0.0;0.67;73.0;10.0;1.0;0.008;1.0;1.3;1.0;34.8;10.0;1.0;1.0;0.6;7.47;0
5.0;0.21;3.7;62.0;4.1;0.0;24.0;5.0;4.0;495.0;0.0;0.0;0.0;1.0;200.0;35.0;0.45;0.01;16.0;0.8;0.0;48.1;6.0;0.0;16.0;4.9;8.0;1
10.0;0.05;0.1;1.4;0.0;0.0;7.0;5.0;0.0;355.0;0.0;0.0;0.0;0.1;54.0;23.0;1.0;0.002;1.0;1.0;0.0;2.7;3.8;0.0;1.0;1.0;7.5;0
40.0;0.113;0.269;196.0;0.0;0.0;0.0;5.0;10.8;982.0;0.0;0.0;0.0;0.49;155.0;4.7;0.44;0.004;1.0;1.2;1.0;171.8;5.0;1.0;1.0;1.11;8.2;0
5.0;0.31;0.2;218.0;0.0;0.0;0.0;5.0;3.0;975.0;0.0;0.0;0.0;0.67;36.0;5.0;1.0;0.008;4.0;1.3;0.0;34.8;10.0;0.0;4.0;1.0;8.2;0
5.0;0.05;0.2;23.0;0.0;0.0;34.0;5.0;4.1;716.0;0.0;0.0;0.0;0.67;83.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.03;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;2.1;533.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.6;0
5.0;0.05;0.2;23.0;0.0;0.0;5.0;5.0;2.1;533.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.6;0
5.0;0.05;0.2;23.0;0.0;0.0;5.0;5.0;2.1;533.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.6;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;0.0;451.0;0.0;0.0;0.0;0.67;27.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.3;0
5.0;0.14;0.2;26.0;0.0;0.0;300.0;5.0;12.0;553.0;0.0;0.0;0.0;0.67;1270.0;23.0;1.0;0.008;8.0;0.88;0.0;47.3;3.0;0.0;1.0;7.0;7.7;1
5.0;0.11;0.717;23.0;0.0;0.0;5.0;5.0;8.3;448.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;0.42;0.0;34.8;2.8;0.0;1.0;1.93;8.02;0
5.0;0.05;0.2;23.0;0.0;0.0;7.0;5.0;6.0;543.0;0.0;0.0;0.0;0.67;530.0;10.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;1.0;7.2;1
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;0.0;326.0;0.0;0.0;0.0;0.67;20.0;87.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.4;1
5.0;0.24;0.2;23.0;0.0;0.0;0.0;5.0;8.1;878.0;0.0;0.0;0.0;0.67;889.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;2.0;7.87;1
5.0;0.05;0.2;23.0;0.0;0.0;2.0;2.1;2.1;593.0;0.0;0.0;0.0;0.05;23.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.2;7.5;0
5.0;0.05;0.2;23.0;0.0;0.0;1.0;1.7;2.1;561.0;0.0;0.0;0.0;0.67;22.0;20.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.2;7.6;0
4.0;0.08;0.257;361.0;0.0;0.0;8.0;5.0;21.4;1394.0;0.0;0.0;0.0;0.82;219.0;33.0;1.0;0.009;1.0;1.02;0.0;178.9;4.8;0.0;1.0;1.46;7.98;1
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;0.0;572.0;0.0;0.0;0.0;0.67;20.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.4;0
10.0;0.05;0.1;24.0;0.0;0.0;7.0;5.0;0.0;636.0;0.0;0.0;0.0;0.3;25.0;10.0;2.0;0.002;1.0;1.3;0.0;13.0;60.0;0.0;1.0;1.3;7.6;0
5.0;0.05;0.2;23.0;0.0;0.0;5.0;5.0;2.1;339.0;0.0;0.0;0.0;0.67;52.0;0.5;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;8.05;0
5.0;0.05;0.2;23.0;0.0;0.0;4.0;5.0;0.0;462.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.5;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;0.0;308.0;0.0;0.0;0.0;0.67;20.0;26.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.4;0
10.0;0.05;0.3;6.3;0.0;0.0;4.0;5.0;0.0;295.0;0.0;0.0;0.0;1.3;20.0;10.0;1.0;0.002;1.0;1.1;0.0;24.0;5.6;0.0;1.0;1.0;7.6;0
10.0;0.05;0.4;1.4;0.0;0.0;0.0;5.0;0.0;90.6;0.0;0.0;0.0;0.2;20.0;10.0;1.0;0.005;1.0;0.7;0.0;5.3;1.3;0.0;1.0;1.0;7.5;0
5.0;0.05;0.2;23.0;0.0;0.0;10.0;5.0;4.0;413.0;0.0;0.0;0.0;0.67;120.0;12.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.3;7.8;0
10.0;0.05;0.1;7.3;0.0;0.0;60.0;5.0;0.0;512.0;0.0;0.0;0.0;0.1;20.0;10.0;9.8;0.002;1.0;1.0;0.0;5.0;15.0;0.0;1.0;1.0;7.6;0
5.0;0.05;0.2;23.0;0.0;0.0;41.0;5.0;2.0;634.0;0.0;0.0;0.0;0.67;20.0;20.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;1.0;7.5;0
5.0;0.08;0.2;23.0;0.0;0.0;5.0;5.0;8.4;454.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;2.8;0.0;1.0;0.68;7.88;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;3.8;470.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.004;1.0;1.3;0.0;34.8;7.2;0.0;1.0;0.59;7.64;0
5.0;0.05;0.2;23.0;0.0;0.0;83.0;5.0;0.0;396.0;0.0;0.0;0.0;0.67;20.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.5;0
5.0;0.05;0.2;23.0;0.0;0.0;34.0;5.0;3.0;623.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;1.0;34.8;10.0;1.0;1.0;0.5;7.32;0
5.0;0.05;0.2;23.0;0.0;0.0;44.0;5.0;3.0;180.0;0.0;0.0;0.0;0.67;58.0;5.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;1.0;7.7;0
5.0;0.05;0.2;23.0;0.0;0.0;5.0;5.0;3.0;712.0;0.0;0.0;0.0;1.12;42.0;10.0;1.0;0.003;1.0;1.3;1.0;34.8;10.0;1.0;1.0;0.5;7.57;0
5.0;0.05;0.2;23.0;0.0;0.0;10.0;5.0;3.0;515.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;1.3;8.0;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;2.0;576.0;0.0;0.0;0.0;0.67;17.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.7;0
5.0;0.05;0.2;23.0;0.0;0.0;5.0;5.0;2.0;581.0;0.0;0.0;0.0;0.67;13.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.2;0
5.0;0.05;0.811;23.0;0.0;0.0;8.0;5.0;0.5;736.0;0.0;0.0;0.0;1.5;42.0;10.0;1.0;0.003;1.0;1.3;1.0;34.8;10.0;1.0;1.0;1.0;7.58;0
5.0;0.05;0.2;23.0;0.0;0.0;5.0;2.5;2.1;248.0;0.0;0.0;0.0;1.39;55.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.3;7.8;0
5.0;0.08;0.978;23.0;0.0;0.0;3.0;5.0;3.0;377.0;0.0;0.0;0.0;1.17;24.0;10.0;1.0;0.003;1.0;1.3;1.0;34.8;10.0;1.0;1.0;0.5;7.36;0
5.0;0.13;0.2;23.0;0.0;0.0;123.0;5.0;6.8;525.0;0.0;0.0;0.0;0.67;58.0;30.4;1.0;0.008;1.0;1.3;0.0;8.4;10.0;0.0;1.0;0.59;7.48;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;0.0;224.0;0.0;0.0;0.0;0.67;46.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.8;0
5.0;0.05;0.2;23.0;0.0;17.0;224.0;5.0;0.0;141.0;4.0;0.0;0.0;1.1;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.3;1
5.0;0.06;0.2;23.0;0.0;0.0;0.0;5.0;2.1;733.0;0.0;0.0;0.0;0.67;132.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.3;7.2;0
5.0;0.24;0.126;116.0;0.0;0.0;4.0;5.0;2.0;633.0;0.0;0.0;0.0;0.62;185.0;40.0;0.45;0.069;4.0;1.8;0.0;59.6;17.0;0.0;16.0;4.1;7.7;1
5.0;0.19;0.2;23.0;0.0;0.0;5.0;5.0;10.0;544.0;0.0;0.0;0.0;0.67;215.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;11.5;0.0;1.0;1.1;7.55;1
5.0;0.05;0.2;23.0;0.0;0.0;300.0;5.0;5.6;662.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;2.0;1.3;0.0;34.8;17.2;0.0;2.0;0.58;7.98;1
5.0;0.25;0.2;23.0;0.0;0.0;29.0;5.0;6.0;696.0;0.0;0.0;0.0;0.67;97.0;10.0;1.0;0.008;1.0;1.3;2.0;34.8;10.0;1.0;1.0;0.5;8.09;0
5.0;0.08;0.2;23.0;0.0;0.0;4.0;5.0;8.6;926.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.9;7.87;0
5.0;0.05;0.2;23.0;0.0;0.0;5.0;5.0;0.0;397.0;0.0;0.0;0.0;0.67;23.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.7;0
5.0;0.11;0.2;23.0;0.0;0.0;5.0;5.0;10.0;706.0;0.0;0.0;0.0;0.67;205.0;10.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;2.0;6.9;1
5.0;3.19;0.2;23.0;0.0;0.0;0.0;5.0;0.0;392.0;0.0;0.0;0.0;0.67;1570.0;860.0;1.0;0.008;1.0;3.4;0.0;9.9;1.0;0.0;1.0;1.0;7.5;1
5.0;0.12;0.725;133.0;0.0;0.0;39.0;5.0;5.0;713.0;0.0;0.0;0.0;1.4;69.0;6.0;0.45;0.01;4.0;1.4;0.0;75.2;34.0;0.0;4.0;1.0;8.0;0
5.0;0.05;0.2;23.0;0.0;0.0;5.0;5.0;0.0;288.0;0.0;0.0;0.0;0.67;233.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;3.0;8.3;1
5.0;0.05;0.2;23.0;0.0;0.0;4.0;5.0;2.0;653.0;0.0;0.0;0.0;0.67;30.0;5.0;1.0;0.008;1.0;3.2;0.0;56.6;26.0;0.0;1.0;1.0;8.6;0
5.0;0.05;0.2;23.0;0.0;0.0;145.0;5.0;3.0;461.0;0.0;0.0;0.0;0.67;47.0;5.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;1.0;7.7;0
5.0;0.05;0.807;23.0;0.0;0.0;1.0;5.0;3.0;533.0;0.0;0.0;0.0;0.88;31.0;10.0;1.0;0.008;1.0;1.3;1.0;34.8;10.0;1.0;1.0;0.5;7.8;0
5.0;0.05;0.2;23.0;0.0;0.0;5.0;1.5;2.1;302.0;0.0;0.0;0.0;1.3;20.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.2;8.2;0
10.0;0.05;0.1;1.8;0.0;0.0;4.0;5.0;0.0;557.0;0.0;0.0;0.0;0.2;30.0;17.0;2.0;0.002;1.0;0.9;0.0;8.0;3.4;0.0;1.0;1.0;7.7;0
5.0;0.05;0.2;23.0;0.0;0.0;186.0;5.0;3.0;478.0;0.0;0.0;0.0;0.67;40.0;10.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;1.0;7.9;0
5.0;0.24;0.2;23.0;0.0;0.0;0.0;5.0;0.0;536.0;0.0;0.0;0.0;0.67;20.0;10.0;1.0;0.008;1.0;1.1;0.0;14.0;16.0;0.0;1.0;1.0;7.2;0
5.0;0.05;0.107;98.0;0.0;0.0;5.0;5.0;2.0;618.0;0.0;0.0;0.0;0.93;16.0;2.0;0.5;0.01;2.0;1.5;0.0;52.3;26.0;0.0;2.0;1.0;8.1;0
5.0;0.05;0.2;23.0;0.0;0.0;4.0;5.0;0.0;411.0;0.0;0.0;0.0;0.67;20.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.6;0
5.0;0.05;0.2;23.0;0.0;0.0;1.0;7.0;2.1;632.0;0.0;0.0;0.0;0.67;64.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.5;7.5;0
5.0;0.07;0.2;23.0;0.0;0.0;0.0;5.0;2.1;768.0;0.0;0.0;0.0;0.67;47.0;2.6;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.36;0
5.0;0.49;0.2;23.0;0.0;0.0;300.0;5.0;6.0;1039.0;0.0;0.0;0.0;0.67;160.0;40.0;1.0;0.008;2.0;0.72;0.0;75.9;3.0;0.0;2.0;1.6;7.5;0
5.0;0.05;0.2;23.0;0.0;0.0;6.0;5.0;5.0;565.0;0.0;0.0;0.0;0.67;120.0;10.0;1.0;0.008;1.0;1.3;1.0;34.8;10.0;1.0;1.0;0.5;7.46;0
10.0;0.05;0.3;3.6;0.0;0.0;6.0;5.0;0.0;219.0;0.0;0.0;0.0;1.3;144.0;10.0;1.0;0.002;1.0;1.3;0.0;24.0;12.0;0.0;1.0;1.0;7.8;0
10.0;0.05;0.1;4.1;0.0;0.0;146.0;5.0;0.0;403.0;0.0;0.0;0.0;0.3;24.0;10.0;3.4;0.002;1.0;0.9;0.0;3.7;12.0;0.0;1.0;1.0;7.6;0
5.0;0.05;0.2;23.0;0.0;0.0;18.0;5.0;9.0;645.0;0.0;0.0;0.0;0.67;610.0;10.0;1.0;0.008;4.0;1.3;0.0;34.8;10.0;0.0;4.0;1.0;7.0;1
5.0;0.17;0.2;23.0;0.0;0.0;25.0;5.0;6.0;732.0;0.0;0.0;0.0;0.67;36.0;2.0;1.0;0.008;2.0;2.3;0.0;44.8;4.0;0.0;1.0;1.0;7.7;0
5.0;0.08;0.006;23.0;0.0;14.0;820.0;5.0;7.1;561.0;65.0;0.0;10.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;16.4;0.0;1.0;0.5;7.43;1
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;0.0;545.0;0.0;0.0;0.0;0.67;20.0;11.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.3;0
